SA1_MAINCODE_2016,Area (sq km),Nearest Centrelink office,Distance (km),Total travel time (min),Travel time decile
10105153909,0.1196,Goulburn,1801.173214,6.7,3
10105153910,0.6187,Goulburn,307.3008387,2.3,1
10105153911,0.1779,Goulburn,3235.444649,10.2,5
10105153912,0.3317,Goulburn,4234.361386,8.7,4
10105153913,0.2396,Goulburn,1744.837625,4.8,1
10105153914,0.3858,Goulburn,4939.293843,10.2,5
10105153915,0.1719,Goulburn,1870.02358,8.7,4
10105153916,9.2106,Goulburn,4550.380551,10.5,6
10105153917,0.1444,Goulburn,1320.264864,5.1,2
10105153918,0.3902,Goulburn,2365.986684,5.7,2
10105153919,0.4862,Goulburn,1376.462727,3.7,1
10105153920,0.7451,Goulburn,3182.581379,11,6
10105153921,0.2444,Goulburn,1916.958746,7.7,3
10105153922,2.3917,Goulburn,2480.05279,7.7,3
10105153923,5.712,Goulburn,6119.118295,9.6,5
10105153924,0.1993,Goulburn,3517.031456,8,4
10105153925,0.22,Goulburn,1148.846699,4.6,1
10105153926,0.3509,Goulburn,2014.141919,6.7,3
10105153927,0.2734,Goulburn,1463.723672,5.2,2
10105153928,1.2726,Goulburn,3734.920261,9.3,5
10105153929,0.3847,Goulburn,3495.192005,7.2,3
10105153930,0.7795,Goulburn,2480.201171,7.6,3
10105153931,0.3255,Goulburn,298.9658709,2.3,1
10105153932,0.1858,Goulburn,989.0445131,4.6,1
10105153933,0.1089,Goulburn,1437.030085,4.9,2
10105153934,0.1702,Goulburn,993.5803809,3.5,1
10105153935,0.3086,Goulburn,874.3202425,4,1
10105153936,0.1512,Goulburn,1364.658753,5.6,2
10105153937,0.2015,Goulburn,2696.78633,11,6
10105153938,0.1625,Goulburn,1933.966247,6.7,3
10105153939,15.4567,Goulburn,3045.74601,9.1,5
10105153940,0.1112,Goulburn,1327.447534,3.7,1
10105153941,0.1373,Goulburn,1924.562246,6.3,2
10105153942,0.3106,Goulburn,1453.959495,4.5,1
10105153943,1.244,Goulburn,1012.676437,5.3,2
10105153944,0.2683,Goulburn,1546.268695,5.6,2
10105153945,0.7201,Goulburn,2631.953358,6,2
10105153946,0.1794,Goulburn,2488.302581,12.3,7
10105153947,0.1642,Goulburn,1496.17028,5.4,2
10105153948,0.1324,Goulburn,1054.203214,3.9,1
10105153949,2.6245,Goulburn,1850.207049,7.6,3
10105153950,0.281,Goulburn,1225.777689,4.7,1
10105153951,0.3799,Goulburn,1669.254043,6.6,3
10105153952,0.4547,Goulburn,2925.979141,8.5,4
10105153953,0.2319,Goulburn,1947.825074,7.1,3
10105153954,1.3126,Goulburn,2511.857966,6.3,2
10105153955,0.1705,Goulburn,2168.937811,7.5,3
10105153956,0.2278,Goulburn,1875.256135,6.5,3
10105153957,0.2004,Goulburn,1556.739506,4.7,1
10105153958,3.8363,Goulburn,4155.938509,8.9,4
10105153959,0.1532,Goulburn,2519.892771,11,6
